year,month,production_kbpd,province,date,treated,line3_post,tmx_post,line3_did,tmx_did,time_trend,pipeline_capacity_instrument,wcs_wti_differential,rail_kbpd,differential_predicted
2020,2,3572.5927241379313,Alberta,2020-02-01,1,0,0,0,0,25,0.0,23.26,411.99087752985264,16.562109394748475
2020,3,3498.3086451612903,Alberta,2020-03-01,1,0,0,0,0,26,0.0,16.37,350.5667738919098,16.397321423070622
2020,4,3008.770066666667,Alberta,2020-04-01,1,0,0,0,0,27,0.0,13.05,156.24157103351544,16.232533451392765
2020,5,2816.129935483871,Alberta,2020-05-01,1,0,0,0,0,28,0.0,16.89,58.047723838654946,16.06774547971491
2020,6,3032.701066666667,Alberta,2020-06-01,1,0,0,0,0,29,0.0,4.34,42.82021924360591,15.902957508037058
2020,7,3037.533709677419,Alberta,2020-07-01,1,0,0,0,0,30,0.0,8.21,38.86706913461868,15.738169536359203
2020,8,2970.2937419354835,Alberta,2020-08-01,1,0,0,0,0,31,0.0,7.74,51.052268770384224,15.573381564681348
2020,9,3067.711366666667,Alberta,2020-09-01,1,0,0,0,0,32,0.0,11.2,74.66730517481601,15.408593593003495
2020,10,3255.392516129032,Alberta,2020-10-01,1,0,0,0,0,33,0.0,8.23,92.81166888202014,15.24380562132564
2020,11,3577.8967666666667,Alberta,2020-11-01,1,0,0,0,0,34,0.0,9.37,173.09547744663598,15.079017649647785
2020,12,3729.477064516129,Alberta,2020-12-01,1,0,0,0,0,35,0.0,9.7,190.45352290943725,14.914229677969931
2021,1,3667.0274516129034,Alberta,2021-01-01,1,0,0,0,0,36,0.0,11.96,194.61467582028357,14.749441706292076
2021,2,3505.746714285714,Alberta,2021-02-01,1,0,0,0,0,37,0.0,13.91,111.87059527206621,14.584653734614221
2021,3,3556.7980967741933,Alberta,2021-03-01,1,0,0,0,0,38,0.0,11.39,175.5799660279362,14.419865762936368
2021,4,3236.1381666666666,Alberta,2021-04-01,1,0,0,0,0,39,0.0,11.21,129.9592666249166,14.255077791258513
